year/month,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE
2022/12,40.0,4.0,52.0,7.0,31.0,41.0,27.0,8.0,10.0,9.0,5.0,26.0,54.0,34.0,4.0,27.0,36.0,17.0,147.0,134.0,5.0,5.0,20.0,30.0,3.0,32.0,17.0
2023/01,47.0,19.0,46.0,7.0,34.0,43.0,18.0,1.0,7.0,8.0,4.0,18.0,44.0,30.0,6.0,21.0,25.0,7.0,76.0,6.0,3.0,11.0,15.0,21.0,4.0,39.0,11.0
2023/02,22.0,0.0,37.0,1.0,27.0,45.0,19.0,1.0,9.0,1.0,3.0,16.0,26.0,32.0,3.0,16.0,19.0,8.0,58.0,11.0,6.0,2.0,17.0,19.0,4.0,17.0,5.0
2023/03,21.0,0.0,30.0,7.0,24.0,31.0,20.0,1.0,6.0,5.0,10.0,10.0,34.0,17.0,2.0,17.0,30.0,8.0,69.0,7.0,3.0,6.0,11.0,16.0,3.0,8.0,1.0
2023/04,12.0,6.0,27.0,3.0,16.0,26.0,14.0,0.0,8.0,8.0,2.0,13.0,25.0,15.0,1.0,17.0,16.0,6.0,48.0,17.0,2.0,6.0,13.0,13.0,4.0,19.0,5.0
2023/05,20.0,3.0,24.0,2.0,15.0,19.0,9.0,2.0,2.0,7.0,3.0,7.0,16.0,18.0,2.0,18.0,11.0,5.0,50.0,8.0,6.0,2.0,11.0,13.0,3.0,5.0,2.0
2023/06,24.0,0.0,38.0,7.0,27.0,39.0,7.0,0.0,12.0,5.0,4.0,15.0,23.0,25.0,5.0,22.0,28.0,3.0,66.0,13.0,5.0,8.0,10.0,20.0,1.0,10.0,7.0
2023/07,26.0,9.0,30.0,2.0,20.0,19.0,9.0,0.0,6.0,7.0,5.0,8.0,23.0,24.0,6.0,13.0,23.0,1.0,45.0,13.0,8.0,3.0,9.0,24.0,1.0,19.0,3.0
2023/08,16.0,1.0,24.0,4.0,21.0,25.0,12.0,0.0,2.0,3.0,0.0,7.0,34.0,21.0,3.0,12.0,23.0,7.0,56.0,7.0,3.0,2.0,7.0,16.0,1.0,7.0,3.0
2023/09,15.0,4.0,16.0,6.0,6.0,13.0,4.0,1.0,3.0,6.0,5.0,13.0,19.0,17.0,2.0,5.0,14.0,3.0,30.0,4.0,3.0,2.0,11.0,12.0,2.0,11.0,4.0
2023/10,8.0,0.0,11.0,2.0,13.0,16.0,3.0,1.0,0.0,2.0,2.0,6.0,13.0,10.0,1.0,4.0,13.0,2.0,11.0,0.0,1.0,1.0,3.0,7.0,1.0,4.0,1.0
2023/11,3.0,0.0,2.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,8.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2023/12,12.0,0.0,9.0,3.0,2.0,9.0,4.0,2.0,20.0,0.0,1.0,4.0,3.0,6.0,6.0,1.0,5.0,1.0,38.0,92.0,1.0,2.0,5.0,2.0,1.0,4.0,3.0
